City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
87,palestina,40,PS,1601793859,61,31.92,35.2,298.71,2.1
88,san miguel,100,SV,1601793859,94,13.48,-88.18,296.37,1.01
89,tocancipa,75,CO,1601793859,87,4.97,-73.91,286.15,1.0
90,toluviejo,100,CO,1601793859,96,9.45,-75.44,296.22,1.93
91,valencia,27,ES,1601793765,63,39.33,-0.83,287.04,1.79
92,calle blancos,75,CR,1601793859,100,9.95,-84.07,293.15,2.1
93,san rafael,100,AR,1601793860,76,-34.62,-68.33,278.61,4.85
94,bucovice,100,CZ,1601793860,92,49.15,17.0,289.26,7.71
95,hodkovice nad mohelkou,100,CZ,1601793860,10,50.67,15.09,284.82,2.85
96,hrusovany u brna,40,CZ,1601793860,87,49.04,16.59,289.26,7.7
97,prague,75,CZ,1601793860,93,50.09,14.42,285.37,3.1
98,sternberk,97,CZ,1601793641,94,49.73,17.3,289.26,0.45
99,uhersky ostroh,57,CZ,1601793860,100,48.99,17.39,288.71,10.15
100,zacler,100,CZ,1601793860,86,50.66,15.91,288.71,7.15
101,zdounky,96,CZ,1601793860,93,49.23,17.32,288.71,0.45
102,bremerhaven,20,DE,1601793861,87,53.55,8.58,283.15,4.6
103,cleves,75,DE,1601793861,93,51.78,6.15,284.82,4.1
104,friedland,89,DE,1601793861,76,51.42,9.93,285.93,1.34
105,germersheim,86,DE,1601793861,70,49.22,8.36,285.93,0.89
106,gunzenhausen,75,DE,1601793861,100,49.1,10.75,281.15,3.6
107,hildesheim,48,DE,1601793861,72,52.15,9.95,285.93,1.79
108,marktoberdorf,98,DE,1601793861,93,47.78,10.62,280.37,0.5
109,markt schwaben,94,DE,1601793861,100,48.19,11.87,281.48,2.1
110,netphen,75,DE,1601793862,93,50.92,8.1,283.15,6.2
111,obernkirchen,75,DE,1601793862,66,52.27,9.13,285.15,5.1
112,remscheid,100,DE,1601793862,88,51.18,7.2,285.93,3.13
113,treuchtlingen,75,DE,1601793456,100,48.95,10.92,280.37,0.5
114,vechelde,91,DE,1601793862,86,52.26,10.36,284.26,1.79
115,wildberg,20,DE,1601793862,71,48.62,8.75,283.71,2.1
116,wunsiedel,75,DE,1601793862,89,50.03,12.02,282.04,0.45
117,nordby,0,DK,1601793862,93,55.45,8.4,284.15,3.6
118,skive,100,DK,1601793863,93,56.57,9.03,288.15,3.1
119,las matas de farfan,46,DO,1601793863,83,18.87,-71.52,293.83,1.56
120,tamayo,32,DO,1601793863,83,18.39,-71.2,296.77,0.39
121,la troncal,78,EC,1601793863,100,-2.4,-79.33,297.15,0.56
122,archidona,0,ES,1601793863,54,37.1,-4.39,289.26,2.68
123,burgos,75,ES,1601793863,93,42.34,-3.71,281.15,8.2
124,cartama,0,ES,1601793863,62,36.71,-4.63,288.71,3.6
125,leganes,40,ES,1601793863,87,40.33,-3.76,281.15,5.1
126,monzon,20,ES,1601793864,93,41.91,0.19,279.15,1.0
127,sant cugat del valles,0,ES,1601793864,76,41.47,2.08,288.71,1.0
128,huittinen,90,FI,1601793864,82,61.18,22.7,286.48,5.1
129,argentan,99,FR,1601793864,87,48.75,-0.02,282.15,6.2
130,avion,75,FR,1601793864,87,50.41,2.83,284.15,9.3
131,croissy-sur-seine,90,FR,1601793864,93,48.88,2.14,282.59,6.2
132,jouy-le-moutier,75,FR,1601793864,87,49.01,2.04,282.59,6.7
133,saint-andre-lez-lille,75,FR,1601793864,87,50.67,3.05,284.15,9.3
134,saint-pol-sur-mer,100,FR,1601793865,87,51.03,2.34,283.15,7.2
135,selestat,90,FR,1601793865,81,48.26,7.46,284.15,8.2
136,taverny,75,FR,1601793865,87,49.03,2.22,282.59,6.7
137,makokou,100,GA,1601793865,93,0.57,12.86,296.06,1.47
138,canterbury,100,GB,1601793819,95,51.28,1.08,283.15,1.34
139,coldingham,100,GB,1601793865,96,55.89,-2.16,284.26,5.67
140,hawkhead,90,US,1601793865,93,42.47,-86.21,281.15,3.03
141,kilsyth,100,GB,1601793865,98,55.98,-4.06,286.48,2.6
142,stamford,1,US,1601793689,81,41.05,-73.54,285.37,2.1
143,thornhill,75,GB,1601793650,100,55.23,-3.77,287.04,2.6
144,weston-super-mare,100,GB,1601793866,100,51.35,-2.98,283.71,9.8
145,ayia marina,100,GR,1601793866,83,37.75,23.53,297.59,2.68
146,kalloni,0,GR,1601793747,77,39.23,26.21,294.15,1.0
147,kamariotissa,20,GR,1601793866,93,40.48,25.47,291.15,2.4
148,kaparellion,40,GR,1601793866,93,38.23,23.22,295.93,2.13
149,katerini,100,GR,1601793867,100,40.27,22.5,293.71,2.33
150,kimmeria,75,GR,1601793867,93,41.15,24.93,294.26,2.6
151,komotini,6,GR,1601793867,81,41.12,25.4,293.71,1.5
152,methoni,40,GR,1601793867,94,36.82,21.7,294.15,5.93
153,jutiapa,100,GT,1601793867,93,14.28,-89.9,292.87,1.32
154,momostenango,100,GT,1601793868,100,15.04,-91.41,289.82,1.39
155,sayaxche,100,GT,1601793868,97,16.52,-90.17,292.29,1.7
156,buba,100,GW,1601793868,96,11.58,-15.0,296.9,1.77
157,antigua ocotepeque,100,HN,1601793868,89,14.4,-89.2,293.32,1.61
158,santa ana,1,US,1601793835,78,33.75,-117.87,296.15,1.32
159,leogane,29,HT,1601793868,78,18.51,-72.63,299.15,6.7
160,balloszog,75,HU,1601793868,93,46.86,19.57,290.15,2.1
161,orbottyan,75,HU,1601793868,93,47.69,19.28,289.26,4.1
162,szentgotthard,0,HU,1601793869,17,46.95,16.27,285.93,7.92
163,val,0,HU,1601793869,87,47.36,18.68,289.26,1.79
164,ngaglik,100,ID,1601793869,44,-6.84,111.37,306.17,1.25
165,srandakan,100,ID,1601793869,67,-7.94,110.25,301.62,7.58
166,castlecomer,100,IE,1601793869,86,52.81,-7.21,282.04,6.71
167,killybegs,100,IE,1601793869,78,54.63,-8.45,283.15,4.47
168,mazkeret batya,40,IL,1601793869,61,31.85,34.84,298.71,2.1
169,qiryat motzkin,75,IL,1601793869,57,32.84,35.08,300.15,3.1
170,adilabad,78,IN,1601793604,69,19.67,78.53,300.22,3.64
171,alirajpur,68,IN,1601793870,46,22.3,74.35,304.75,3.52
172,amreli,30,IN,1601793870,51,21.62,71.23,304.95,2.17
173,atraulia,75,IN,1601793870,100,26.33,82.95,303.15,1.0
174,bagar,0,IN,1601793870,11,28.19,75.5,308.61,2.25
175,bhandardaha,75,IN,1601793870,79,22.62,88.21,306.15,4.1
176,bhattiprolu,90,IN,1601793870,74,16.1,80.78,303.15,3.1
177,bisalpur,0,IN,1601793870,42,28.3,79.8,305.89,2.57
178,dabhoi,100,IN,1601793871,62,22.18,73.43,305.15,2.46
179,dalsingh sarai,65,IN,1601793871,69,25.67,85.83,303.04,2.05
180,digha,100,IN,1601793871,74,21.68,87.55,303.7,3.91
